boon,score,rank
Demonic,24.9505,1
Fire Elemental,24.9505,2
One With All,20.4038,3
Amphibian,18.7892,4
Stormrider,17.2711,5
Archer's Mark,13.8667,6
Scooter,13.8092,7
Mer,7.3573,8
Calculated,4.7996,9
Spectral,0.9836000000000003,10
Shiny,0.40889999999999993,11
Tenacious Badger,-0.2337,12
Insectoid,-0.9853,13
UFO,-1.6107,14
Draconic,-2.9532999999999996,15
Undead,-4.6255999999999995,16
Soul in the Machine,-5.053599999999999,17
Earth Elemental,-7.5789,18
Giant,-7.5789,19
Geometry Expert,-13.491200000000001,20
Clean,-14.6954,21
The Light,-14.813699999999999,22
Psychic,-21.5074,23
Angelic,-24.9505,24
Water Elemental,-24.9505,25
Fae,-31.0531,26
Air Elemental,-32.957300000000004,27
