boon,score,rank
Demonic,27.8299,1
Giant,27.1603,2
Tenacious Badger,20.9982,3
Insectoid,17.615,4
Soul in the Machine,8.1232,5
Archer's Mark,6.7226,6
Earth Elemental,5.4782,7
One With All,5.0653999999999995,8
Shiny,5.0455000000000005,9
Clean,4.437,10
The Light,2.7919000000000005,11
UFO,0.011500000000000732,12
Stormrider,-0.39029999999999987,13
Mer,-5.6977,14
Fire Elemental,-5.973,15
Undead,-8.4424,16
Draconic,-10.781600000000001,17
Calculated,-13.640999999999998,18
Geometry Expert,-16.4329,19
Psychic,-23.5571,20
Scooter,-24.881500000000003,21
Spectral,-25.2833,22
Air Elemental,-25.4561,23
Amphibian,-25.8335,24
Water Elemental,-27.1603,25
Angelic,-27.8299,26
Fae,-35.9531,27
