player,name,stat,plus,minus,net_impact,intercept,pct_impact
Dale Lantigua,Demonic,fip,-0.603,0.242,-0.361,7.066868894970457,-5.11
Travis Mae,Demonic,fip,-0.603,0.242,-0.361,7.066868894970457,-5.11
Stacey Mayer,Demonic,fip,-0.503,0.242,-0.261,7.066868894970457,-3.69
Akira Nagashima,Demonic,fip,-0.302,0.161,-0.141,7.066868894970457,-2.0
Sara Pavlović,Demonic,fip,-0.402,0.322,-0.08000000000000002,7.066868894970457,-1.13
Antonio Slater,Demonic,fip,0.0,0.0,0.0,7.066868894970457,0.0
Sandra Hidalgo,Demonic,fip,0.0,0.0,0.0,7.066868894970457,0.0
Neptune Vanterpool,Demonic,fip,0.0,0.0,0.0,7.066868894970457,0.0
Yanli Axelsson,Demonic,fip,0.0,0.0,0.0,7.066868894970457,0.0
Midnight Koosman,Demonic,fip,0.0,0.0,0.0,7.066868894970457,0.0
Johnny Osborne,Demonic,fip,0.0,0.0,0.0,7.066868894970457,0.0
Craig Koyama,Demonic,fip,0.0,0.0,0.0,7.066868894970457,0.0
Eugene Cerdas,Demonic,fip,0.0,0.0,0.0,7.066868894970457,0.0
Milani Kumar,Demonic,fip,0.0,0.0,0.0,7.066868894970457,0.0
Noam Coleman,Demonic,fip,-0.302,0.322,0.020000000000000018,7.066868894970457,0.28
Juan McGuire,Demonic,fip,-0.201,0.322,0.121,7.066868894970457,1.71
Paula Junior,Demonic,fip,-0.201,0.322,0.121,7.066868894970457,1.71
Mia D'Angelo,Demonic,fip,-0.201,0.484,0.283,7.066868894970457,4.0
