player,name,stat,plus,minus,net_impact,intercept,pct_impact
Yanli Axelsson,Demonic,ops,0.06,-0.011,0.049,0.5331873843040336,9.19
Sandra Hidalgo,Demonic,ops,0.052,-0.019,0.033,0.5331873843040336,6.19
Neptune Vanterpool,Demonic,ops,0.043,-0.011,0.032,0.5331873843040336,6.0
Eugene Cerdas,Demonic,ops,0.034,-0.011,0.023000000000000003,0.5331873843040336,4.31
Midnight Koosman,Demonic,ops,0.034,-0.015,0.019000000000000003,0.5331873843040336,3.56
Johnny Osborne,Demonic,ops,0.034,-0.019,0.015000000000000003,0.5331873843040336,2.81
Milani Kumar,Demonic,ops,0.026,-0.011,0.015,0.5331873843040336,2.81
Antonio Slater,Demonic,ops,0.026,-0.011,0.015,0.5331873843040336,2.81
Craig Koyama,Demonic,ops,0.017,-0.011,0.006000000000000002,0.5331873843040336,1.13
Mia D'Angelo,Demonic,ops,0.0,0.0,0.0,0.5331873843040336,0.0
Travis Mae,Demonic,ops,0.0,0.0,0.0,0.5331873843040336,0.0
Juan McGuire,Demonic,ops,0.0,0.0,0.0,0.5331873843040336,0.0
Dale Lantigua,Demonic,ops,0.0,0.0,0.0,0.5331873843040336,0.0
Sara Pavlović,Demonic,ops,0.0,0.0,0.0,0.5331873843040336,0.0
Akira Nagashima,Demonic,ops,0.0,0.0,0.0,0.5331873843040336,0.0
Paula Junior,Demonic,ops,0.0,0.0,0.0,0.5331873843040336,0.0
Stacey Mayer,Demonic,ops,0.0,0.0,0.0,0.5331873843040336,0.0
Noam Coleman,Demonic,ops,0.0,0.0,0.0,0.5331873843040336,0.0
