player,name,stat,plus,minus,net_impact,intercept,pct_impact
Dale Lantigua,Demonic,whip,-0.118,0.066,-0.05199999999999999,1.8091445204860357,-2.87
Travis Mae,Demonic,whip,-0.118,0.066,-0.05199999999999999,1.8091445204860357,-2.87
Stacey Mayer,Demonic,whip,-0.098,0.066,-0.032,1.8091445204860357,-1.77
Akira Nagashima,Demonic,whip,-0.059,0.044,-0.015,1.8091445204860357,-0.83
Sandra Hidalgo,Demonic,whip,0.0,0.0,0.0,1.8091445204860357,0.0
Neptune Vanterpool,Demonic,whip,0.0,0.0,0.0,1.8091445204860357,0.0
Eugene Cerdas,Demonic,whip,0.0,0.0,0.0,1.8091445204860357,0.0
Antonio Slater,Demonic,whip,0.0,0.0,0.0,1.8091445204860357,0.0
Craig Koyama,Demonic,whip,0.0,0.0,0.0,1.8091445204860357,0.0
Johnny Osborne,Demonic,whip,0.0,0.0,0.0,1.8091445204860357,0.0
Yanli Axelsson,Demonic,whip,0.0,0.0,0.0,1.8091445204860357,0.0
Midnight Koosman,Demonic,whip,0.0,0.0,0.0,1.8091445204860357,0.0
Milani Kumar,Demonic,whip,0.0,0.0,0.0,1.8091445204860357,0.0
Sara Pavlović,Demonic,whip,-0.079,0.089,0.009999999999999995,1.8091445204860357,0.55
Noam Coleman,Demonic,whip,-0.059,0.089,0.03,1.8091445204860357,1.66
Juan McGuire,Demonic,whip,-0.039,0.089,0.049999999999999996,1.8091445204860357,2.76
Paula Junior,Demonic,whip,-0.039,0.089,0.049999999999999996,1.8091445204860357,2.76
Mia D'Angelo,Demonic,whip,-0.039,0.133,0.094,1.8091445204860357,5.2
