attribute,coefficient,p_value
const,0.2668751054181542,5.792795114439409e-164
Aiming,0.005807331966371182,2.3787689175558584e-08
Contact,0.010368215880869482,1.871208669050835e-23
Cunning,-0.0001954212285321671,0.85220044600291
Determination,-5.713809196157245e-05,0.9570143160098727
Discipline,0.0016733999979641118,0.10571090284295803
Insight,0.0033777547060862326,0.001179432469498642
Intimidation,0.0028611951324416136,0.005619064115115278
Lift,0.0031251423258292234,0.0032414038521909718
Muscle,0.014043875377912825,1.548708246333523e-44
Selflessness,-0.0002948349158057308,0.7840940408319397
Vision,0.004821867172549105,4.464514440831857e-06
Wisdom,0.0013592964038722166,0.21733123959231257
