attribute,coefficient,p_value
Accuracy,-0.03547431720659683,0.09135403737615204
Defiance,-0.04135096471085271,0.04995563014063306
Persuasion,-0.07205516899295217,0.0007769339001848647
Stamina,-0.08236416441671604,0.00012017132923235217
Rotation,-0.08566707136140034,5.541430493670244e-05
Guts,-0.1176053034867113,5.240261019166024e-08
Stuff,-0.1194500889209617,9.386842690854737e-09
Presence,-0.14771192975776093,2.2966756204352244e-11
Control,-0.15759888210532366,1.8839720050598314e-13
Velocity,-0.19563914203146246,5.249847210947642e-20
