attribute,coefficient,p_value
Muscle,0.01718553131283913,9.59321680185007e-36
Contact,0.011301942790001546,2.382155548091015e-15
Aiming,0.009048596906026345,3.234593514836221e-10
Intimidation,0.007641648732918359,9.500194509732921e-08
Discipline,0.007485263500693086,1.8102725744744997e-07
Insight,0.006733239912728444,2.9808467335843912e-06
Vision,0.006308869870805001,1.3806071189520294e-05
Determination,0.002468683133170388,0.09201000298192712
Wisdom,0.002283692499850631,0.13360888922447822
Cunning,0.0019159702616770604,0.18623010136055207
Lift,0.0012524077434149866,0.3925585041478038
Selflessness,-0.0009309295025865744,0.5312180584691368
