boon,score,rank
Amphibian,3.686,1
Clean,3.3467000000000002,2
Spectral,2.9128,3
Geometry Expert,2.7624000000000004,4
Demonic,0.8502000000000001,5
Fire Elemental,0.8502000000000001,6
Mer,0.7538,7
The Light,0.7487,8
UFO,0.6123999999999999,9
Draconic,0.5674999999999999,10
One With All,-0.06500000000000006,11
Calculated,-0.10199999999999998,12
Insectoid,-0.12919999999999998,13
Tenacious Badger,-0.15589999999999998,14
Shiny,-0.383,15
Stormrider,-0.3990999999999999,16
Fae,-0.45910000000000006,17
Water Elemental,-0.8502000000000001,18
Angelic,-0.8502000000000001,19
Scooter,-1.2315999999999998,20
Archer's Mark,-2.217,21
Giant,-2.5665,22
Earth Elemental,-2.5665,23
Psychic,-2.6622,24
Undead,-3.134,25
Soul in the Machine,-6.075799999999999,26
Air Elemental,-6.3585,27
