boon,stat,contrib
Air Elemental,avg,0.0
Air Elemental,obp,0.0
Air Elemental,ops,0.0
Air Elemental,slg,0.0
Air Elemental,whip,-1.374
Air Elemental,fip,-2.1131
Air Elemental,era,-2.8714
Amphibian,whip,1.4782
Amphibian,fip,1.396
Amphibian,era,0.8118
Amphibian,avg,0.0
Amphibian,obp,0.0
Amphibian,ops,0.0
Amphibian,slg,0.0
Angelic,whip,0.2727
Angelic,avg,0.0
Angelic,obp,0.0
Angelic,ops,0.0
Angelic,slg,0.0
Angelic,era,-0.5583
Angelic,fip,-0.5646
Archer's Mark,avg,0.0
Archer's Mark,obp,0.0
Archer's Mark,ops,0.0
Archer's Mark,slg,0.0
Archer's Mark,whip,-0.0476
Archer's Mark,fip,-0.3632
Archer's Mark,era,-1.8062
Calculated,whip,0.53
Calculated,fip,0.1038
Calculated,avg,0.0
Calculated,obp,0.0
Calculated,ops,0.0
Calculated,slg,0.0
Calculated,era,-0.7358
Clean,fip,1.5215
Clean,era,1.2685
Clean,whip,0.5567
Clean,avg,0.0
Clean,obp,0.0
Clean,ops,0.0
Clean,slg,0.0
Demonic,fip,0.5646
Demonic,era,0.5583
Demonic,avg,0.0
Demonic,obp,0.0
Demonic,ops,0.0
Demonic,slg,0.0
Demonic,whip,-0.2727
Draconic,era,0.9389
Draconic,fip,0.6692
Draconic,avg,0.0
Draconic,obp,0.0
Draconic,ops,0.0
Draconic,slg,0.0
Draconic,whip,-1.0406
Earth Elemental,avg,0.0
Earth Elemental,obp,0.0
Earth Elemental,ops,0.0
Earth Elemental,slg,0.0
Earth Elemental,era,-0.4998
Earth Elemental,fip,-1.011
Earth Elemental,whip,-1.0557
Fae,whip,0.1833
Fae,avg,0.0
Fae,obp,0.0
Fae,ops,0.0
Fae,slg,0.0
Fae,era,-0.2275
Fae,fip,-0.4149
Fire Elemental,fip,0.5646
Fire Elemental,era,0.5583
Fire Elemental,avg,0.0
Fire Elemental,obp,0.0
Fire Elemental,ops,0.0
Fire Elemental,slg,0.0
Fire Elemental,whip,-0.2727
Geometry Expert,fip,1.7492
Geometry Expert,era,0.6276
Geometry Expert,whip,0.3856
Geometry Expert,avg,0.0
Geometry Expert,obp,0.0
Geometry Expert,ops,0.0
Geometry Expert,slg,0.0
Giant,avg,0.0
Giant,obp,0.0
Giant,ops,0.0
Giant,slg,0.0
Giant,era,-0.4998
Giant,fip,-1.011
Giant,whip,-1.0557
Insectoid,whip,0.6538
Insectoid,fip,0.1281
Insectoid,avg,0.0
Insectoid,obp,0.0
Insectoid,ops,0.0
Insectoid,slg,0.0
Insectoid,era,-0.9111
Mer,whip,1.254
Mer,era,0.4212
Mer,avg,0.0
Mer,obp,0.0
Mer,ops,0.0
Mer,slg,0.0
Mer,fip,-0.9214
One With All,whip,0.5144
One With All,avg,0.0
One With All,obp,0.0
One With All,ops,0.0
One With All,slg,0.0
One With All,fip,-0.1526
One With All,era,-0.4268
Psychic,avg,0.0
Psychic,obp,0.0
Psychic,ops,0.0
Psychic,slg,0.0
Psychic,whip,-0.3984
Psychic,fip,-0.5494
Psychic,era,-1.7144
Scooter,avg,0.0
Scooter,obp,0.0
Scooter,ops,0.0
Scooter,slg,0.0
Scooter,era,-0.2068
Scooter,fip,-0.4236
Scooter,whip,-0.6012
Shiny,fip,0.5274
Shiny,avg,0.0
Shiny,obp,0.0
Shiny,ops,0.0
Shiny,slg,0.0
Shiny,whip,-0.2481
Shiny,era,-0.6623
Soul in the Machine,avg,0.0
Soul in the Machine,obp,0.0
Soul in the Machine,ops,0.0
Soul in the Machine,slg,0.0
Soul in the Machine,whip,-0.6061
Soul in the Machine,fip,-2.2177
Soul in the Machine,era,-3.252
Spectral,fip,2.1755
Spectral,era,0.8465
Spectral,avg,0.0
Spectral,obp,0.0
Spectral,ops,0.0
Spectral,slg,0.0
Spectral,whip,-0.1092
Stormrider,era,0.404
Stormrider,whip,0.2058
Stormrider,avg,0.0
Stormrider,obp,0.0
Stormrider,ops,0.0
Stormrider,slg,0.0
Stormrider,fip,-1.0089
Tenacious Badger,fip,0.2463
Tenacious Badger,avg,0.0
Tenacious Badger,obp,0.0
Tenacious Badger,ops,0.0
Tenacious Badger,slg,0.0
Tenacious Badger,era,-0.0089
Tenacious Badger,whip,-0.3933
The Light,fip,0.6915
The Light,era,0.0383
The Light,whip,0.0189
The Light,avg,0.0
The Light,obp,0.0
The Light,ops,0.0
The Light,slg,0.0
UFO,fip,0.6969
UFO,era,0.6108
UFO,avg,0.0
UFO,obp,0.0
UFO,ops,0.0
UFO,slg,0.0
UFO,whip,-0.6953
Undead,avg,0.0
Undead,obp,0.0
Undead,ops,0.0
Undead,slg,0.0
Undead,whip,-0.0151
Undead,era,-1.4387
Undead,fip,-1.6802
Water Elemental,whip,0.2727
Water Elemental,avg,0.0
Water Elemental,obp,0.0
Water Elemental,ops,0.0
Water Elemental,slg,0.0
Water Elemental,era,-0.5583
Water Elemental,fip,-0.5646
