boon,stat,contrib
Air Elemental,avg,0.0
Air Elemental,obp,0.0
Air Elemental,ops,0.0
Air Elemental,slg,0.0
Air Elemental,whip,-8.4501
Air Elemental,fip,-11.5859
Air Elemental,era,-12.9213
Amphibian,fip,6.7894
Amphibian,era,6.3893
Amphibian,whip,5.6105
Amphibian,avg,0.0
Amphibian,obp,0.0
Amphibian,ops,0.0
Amphibian,slg,0.0
Angelic,avg,0.0
Angelic,obp,0.0
Angelic,ops,0.0
Angelic,slg,0.0
Angelic,whip,-6.1135
Angelic,fip,-9.3853
Angelic,era,-9.4517
Archer's Mark,fip,5.6602
Archer's Mark,whip,4.5087
Archer's Mark,era,3.6978
Archer's Mark,avg,0.0
Archer's Mark,obp,0.0
Archer's Mark,ops,0.0
Archer's Mark,slg,0.0
Calculated,whip,2.1541
Calculated,fip,1.8069
Calculated,era,0.8386
Calculated,avg,0.0
Calculated,obp,0.0
Calculated,ops,0.0
Calculated,slg,0.0
Clean,avg,0.0
Clean,obp,0.0
Clean,ops,0.0
Clean,slg,0.0
Clean,whip,-4.4425
Clean,fip,-5.0389
Clean,era,-5.214
Demonic,era,9.4517
Demonic,fip,9.3853
Demonic,whip,6.1135
Demonic,avg,0.0
Demonic,obp,0.0
Demonic,ops,0.0
Demonic,slg,0.0
Draconic,avg,0.0
Draconic,obp,0.0
Draconic,ops,0.0
Draconic,slg,0.0
Draconic,era,-0.2177
Draconic,fip,-0.4716
Draconic,whip,-2.264
Earth Elemental,avg,0.0
Earth Elemental,obp,0.0
Earth Elemental,ops,0.0
Earth Elemental,slg,0.0
Earth Elemental,era,-2.2608
Earth Elemental,fip,-2.5753
Earth Elemental,whip,-2.7428
Fae,avg,0.0
Fae,obp,0.0
Fae,ops,0.0
Fae,slg,0.0
Fae,whip,-8.3692
Fae,era,-11.335
Fae,fip,-11.3489
Fire Elemental,era,9.4517
Fire Elemental,fip,9.3853
Fire Elemental,whip,6.1135
Fire Elemental,avg,0.0
Fire Elemental,obp,0.0
Fire Elemental,ops,0.0
Fire Elemental,slg,0.0
Geometry Expert,avg,0.0
Geometry Expert,obp,0.0
Geometry Expert,ops,0.0
Geometry Expert,slg,0.0
Geometry Expert,whip,-3.6232
Geometry Expert,fip,-4.5872
Geometry Expert,era,-5.2808
Giant,avg,0.0
Giant,obp,0.0
Giant,ops,0.0
Giant,slg,0.0
Giant,era,-2.2608
Giant,fip,-2.5753
Giant,whip,-2.7428
Insectoid,whip,0.5404
Insectoid,avg,0.0
Insectoid,obp,0.0
Insectoid,ops,0.0
Insectoid,slg,0.0
Insectoid,fip,-0.1622
Insectoid,era,-1.3635
Mer,whip,2.9188
Mer,era,2.9134
Mer,fip,1.5251
Mer,avg,0.0
Mer,obp,0.0
Mer,ops,0.0
Mer,slg,0.0
One With All,fip,7.0923
One With All,era,6.9316
One With All,whip,6.3799
One With All,avg,0.0
One With All,obp,0.0
One With All,ops,0.0
One With All,slg,0.0
Psychic,avg,0.0
Psychic,obp,0.0
Psychic,ops,0.0
Psychic,slg,0.0
Psychic,whip,-5.5393
Psychic,fip,-7.0633
Psychic,era,-8.9048
Scooter,era,5.3099
Scooter,fip,5.123
Scooter,whip,3.3763
Scooter,avg,0.0
Scooter,obp,0.0
Scooter,ops,0.0
Scooter,slg,0.0
Shiny,fip,1.0452
Shiny,whip,0.0342
Shiny,avg,0.0
Shiny,obp,0.0
Shiny,ops,0.0
Shiny,slg,0.0
Shiny,era,-0.6705
Soul in the Machine,avg,0.0
Soul in the Machine,obp,0.0
Soul in the Machine,ops,0.0
Soul in the Machine,slg,0.0
Soul in the Machine,whip,-0.0726
Soul in the Machine,fip,-1.729
Soul in the Machine,era,-3.252
Spectral,fip,1.3561
Spectral,era,0.0839
Spectral,avg,0.0
Spectral,obp,0.0
Spectral,ops,0.0
Spectral,slg,0.0
Spectral,whip,-0.4564
Stormrider,era,7.0204
Stormrider,fip,5.5742
Stormrider,whip,4.6765
Stormrider,avg,0.0
Stormrider,obp,0.0
Stormrider,ops,0.0
Stormrider,slg,0.0
Tenacious Badger,fip,0.1043
Tenacious Badger,avg,0.0
Tenacious Badger,obp,0.0
Tenacious Badger,ops,0.0
Tenacious Badger,slg,0.0
Tenacious Badger,era,-0.0728
Tenacious Badger,whip,-0.2652
The Light,avg,0.0
The Light,obp,0.0
The Light,ops,0.0
The Light,slg,0.0
The Light,whip,-4.1423
The Light,fip,-4.8477
The Light,era,-5.8237
UFO,era,0.0511
UFO,avg,0.0
UFO,obp,0.0
UFO,ops,0.0
UFO,slg,0.0
UFO,fip,-0.5307
UFO,whip,-1.1311
Undead,avg,0.0
Undead,obp,0.0
Undead,ops,0.0
Undead,slg,0.0
Undead,whip,-0.4788
Undead,era,-2.0431
Undead,fip,-2.1037
Water Elemental,avg,0.0
Water Elemental,obp,0.0
Water Elemental,ops,0.0
Water Elemental,slg,0.0
Water Elemental,whip,-6.1135
Water Elemental,fip,-9.3853
Water Elemental,era,-9.4517
