boon,score,rank
Giant,16.2916,1
Insectoid,11.3296,2
Soul in the Machine,9.4921,3
Tenacious Badger,9.4647,4
The Light,9.1229,5
Demonic,8.183699999999998,6
Clean,7.2842,7
Archer's Mark,5.689,8
Shiny,3.3767,9
One With All,2.5327,10
Stormrider,-0.09760000000000002,11
Earth Elemental,-1.6963,12
Calculated,-3.3817000000000004,13
Undead,-4.2212,14
UFO,-4.9624,15
Air Elemental,-6.0607999999999995,16
Fire Elemental,-7.259399999999999,17
Angelic,-8.183699999999998,18
Spectral,-8.3077,19
Mer,-8.573599999999999,20
Geometry Expert,-12.5046,21
Scooter,-13.1725,22
Draconic,-13.671000000000001,23
Amphibian,-14.5437,24
Water Elemental,-16.2916,25
Psychic,-16.7051,26
Fae,-17.6758,27
