boon,score,rank
Tenacious Badger,17.327199999999998,1
Demonic,16.9837,2
Giant,16.3142,3
Earth Elemental,9.0267,4
Archer's Mark,8.4563,5
Insectoid,7.592,6
Soul in the Machine,6.1151,7
One With All,4.3579,8
Clean,3.6161,9
Shiny,3.24,10
The Light,0.6627999999999998,11
UFO,0.10909999999999975,12
Stormrider,-0.29269999999999996,13
Fire Elemental,-2.262,14
Calculated,-5.604900000000001,15
Geometry Expert,-6.267799999999999,16
Mer,-6.9634,17
Undead,-7.2631,18
Draconic,-10.619,19
Air Elemental,-11.4838,20
Water Elemental,-16.3142,21
Angelic,-16.9837,22
Psychic,-17.1914,23
Scooter,-20.3609,24
Spectral,-20.7625,25
Amphibian,-20.854300000000002,26
Fae,-23.098799999999997,27
