boon,score,rank
Giant,24.4376,1
Insectoid,23.3395,2
Tenacious Badger,21.2886,3
Demonic,19.0298,4
Soul in the Machine,12.5043,5
Clean,10.9353,6
Earth Elemental,6.3264,7
The Light,4.309200000000001,8
One With All,2.0302000000000002,9
Shiny,0.46210000000000007,10
Archer's Mark,0.3972000000000002,11
Stormrider,-0.39029999999999987,12
Fire Elemental,-2.4245,13
Undead,-3.3836000000000004,14
UFO,-3.6348000000000003,15
Mer,-8.0341,16
Calculated,-11.4178,17
Spectral,-12.461599999999999,18
Air Elemental,-13.7807,19
Draconic,-14.1587,20
Scooter,-15.706199999999999,21
Geometry Expert,-15.7271,22
Angelic,-19.0298,23
Amphibian,-19.522800000000004,24
Water Elemental,-24.4376,25
Psychic,-30.3801,26
Fae,-31.534100000000002,27
