boon,score,rank
One With All,14.193200000000001,1
Fire Elemental,13.1129,2
Demonic,13.1129,3
Amphibian,10.1659,4
Archer's Mark,9.4574,5
Scooter,5.5454,6
Stormrider,4.7542,7
Tenacious Badger,4.3811,8
Spectral,3.8362,9
Shiny,0.5403,10
Calculated,-0.1654,11
Mer,-0.619,12
Undead,-1.6423,13
Draconic,-2.9532999999999996,14
Insectoid,-3.1192,15
The Light,-4.4045000000000005,16
Earth Elemental,-4.5956,17
Giant,-4.5956,18
UFO,-4.599399999999999,19
Geometry Expert,-4.9096,20
Soul in the Machine,-6.075799999999999,21
Clean,-9.1135,22
Psychic,-12.6036,23
Angelic,-13.1129,24
Water Elemental,-13.1129,25
Fae,-20.7021,26
Air Elemental,-22.1419,27
