player,name,stat,plus,minus,net_impact,intercept,pct_impact
Travis Mae,Archer's Mark,fip,-0.393,0.143,-0.25,7.066868894970457,-3.54
Sara Pavlović,Archer's Mark,fip,-0.252,0.035,-0.217,7.066868894970457,-3.07
Dale Lantigua,Archer's Mark,fip,-0.262,0.184,-0.07800000000000001,7.066868894970457,-1.1
Noam Coleman,Archer's Mark,fip,-0.222,0.153,-0.069,7.066868894970457,-0.98
Akira Nagashima,Archer's Mark,fip,-0.222,0.16,-0.062,7.066868894970457,-0.88
Paula Junior,Archer's Mark,fip,-0.162,0.101,-0.061,7.066868894970457,-0.86
Stacey Mayer,Archer's Mark,fip,-0.212,0.153,-0.059,7.066868894970457,-0.83
Eugene Cerdas,Archer's Mark,fip,0.0,0.0,0.0,7.066868894970457,0.0
Antonio Slater,Archer's Mark,fip,0.0,0.0,0.0,7.066868894970457,0.0
Craig Koyama,Archer's Mark,fip,0.0,0.0,0.0,7.066868894970457,0.0
Johnny Osborne,Archer's Mark,fip,0.0,0.0,0.0,7.066868894970457,0.0
Sandra Hidalgo,Archer's Mark,fip,0.0,0.0,0.0,7.066868894970457,0.0
Midnight Koosman,Archer's Mark,fip,0.0,0.0,0.0,7.066868894970457,0.0
Yanli Axelsson,Archer's Mark,fip,0.0,0.0,0.0,7.066868894970457,0.0
Neptune Vanterpool,Archer's Mark,fip,0.0,0.0,0.0,7.066868894970457,0.0
Milani Kumar,Archer's Mark,fip,0.0,0.0,0.0,7.066868894970457,0.0
Mia D'Angelo,Archer's Mark,fip,-0.162,0.237,0.07499999999999998,7.066868894970457,1.06
Juan McGuire,Archer's Mark,fip,-0.131,0.219,0.088,7.066868894970457,1.25
