player,name,stat,plus,minus,net_impact,intercept,pct_impact
Milani Kumar,Archer's Mark,ops,0.017,0.0,0.017,0.5331873843040336,3.19
Neptune Vanterpool,Archer's Mark,ops,0.015,-0.002,0.013,0.5331873843040336,2.44
Yanli Axelsson,Archer's Mark,ops,0.017,-0.005,0.012,0.5331873843040336,2.25
Eugene Cerdas,Archer's Mark,ops,0.011,0.0,0.011,0.5331873843040336,2.06
Midnight Koosman,Archer's Mark,ops,0.018,-0.009,0.009,0.5331873843040336,1.69
Craig Koyama,Archer's Mark,ops,0.015,-0.007,0.008,0.5331873843040336,1.5
Antonio Slater,Archer's Mark,ops,0.013,-0.007,0.005999999999999999,0.5331873843040336,1.13
Sandra Hidalgo,Archer's Mark,ops,0.013,-0.009,0.004,0.5331873843040336,0.75
Mia D'Angelo,Archer's Mark,ops,0.0,0.0,0.0,0.5331873843040336,0.0
Travis Mae,Archer's Mark,ops,0.0,0.0,0.0,0.5331873843040336,0.0
Juan McGuire,Archer's Mark,ops,0.0,0.0,0.0,0.5331873843040336,0.0
Dale Lantigua,Archer's Mark,ops,0.0,0.0,0.0,0.5331873843040336,0.0
Sara Pavlović,Archer's Mark,ops,0.0,0.0,0.0,0.5331873843040336,0.0
Akira Nagashima,Archer's Mark,ops,0.0,0.0,0.0,0.5331873843040336,0.0
Paula Junior,Archer's Mark,ops,0.0,0.0,0.0,0.5331873843040336,0.0
Stacey Mayer,Archer's Mark,ops,0.0,0.0,0.0,0.5331873843040336,0.0
Noam Coleman,Archer's Mark,ops,0.0,0.0,0.0,0.5331873843040336,0.0
Johnny Osborne,Archer's Mark,ops,0.004,-0.007,-0.003,0.5331873843040336,-0.56
