player,name,stat,plus,minus,net_impact,intercept,pct_impact
Milani Kumar,Archer's Mark,slg,0.011,0.0,0.011,0.2668751054181542,4.12
Midnight Koosman,Archer's Mark,slg,0.013,-0.003,0.009999999999999998,0.2668751054181542,3.75
Neptune Vanterpool,Archer's Mark,slg,0.01,-0.001,0.009000000000000001,0.2668751054181542,3.37
Yanli Axelsson,Archer's Mark,slg,0.011,-0.002,0.009,0.2668751054181542,3.37
Eugene Cerdas,Archer's Mark,slg,0.008,0.0,0.008,0.2668751054181542,3.0
Craig Koyama,Archer's Mark,slg,0.01,-0.003,0.007,0.2668751054181542,2.62
Antonio Slater,Archer's Mark,slg,0.008,-0.003,0.005,0.2668751054181542,1.87
Sandra Hidalgo,Archer's Mark,slg,0.008,-0.003,0.005,0.2668751054181542,1.87
Johnny Osborne,Archer's Mark,slg,0.003,-0.003,0.0,0.2668751054181542,0.0
Mia D'Angelo,Archer's Mark,slg,0.0,0.0,0.0,0.2668751054181542,0.0
Travis Mae,Archer's Mark,slg,0.0,0.0,0.0,0.2668751054181542,0.0
Juan McGuire,Archer's Mark,slg,0.0,0.0,0.0,0.2668751054181542,0.0
Dale Lantigua,Archer's Mark,slg,0.0,0.0,0.0,0.2668751054181542,0.0
Sara Pavlović,Archer's Mark,slg,0.0,0.0,0.0,0.2668751054181542,0.0
Akira Nagashima,Archer's Mark,slg,0.0,0.0,0.0,0.2668751054181542,0.0
Paula Junior,Archer's Mark,slg,0.0,0.0,0.0,0.2668751054181542,0.0
Stacey Mayer,Archer's Mark,slg,0.0,0.0,0.0,0.2668751054181542,0.0
Noam Coleman,Archer's Mark,slg,0.0,0.0,0.0,0.2668751054181542,0.0
