player,name,stat,plus,minus,net_impact,intercept,pct_impact
Travis Mae,Archer's Mark,whip,-0.079,0.021,-0.057999999999999996,1.8091445204860357,-3.21
Sara Pavlović,Archer's Mark,whip,-0.05,0.012,-0.038000000000000006,1.8091445204860357,-2.1
Dale Lantigua,Archer's Mark,whip,-0.053,0.026,-0.027,1.8091445204860357,-1.49
Akira Nagashima,Archer's Mark,whip,-0.047,0.027,-0.02,1.8091445204860357,-1.11
Paula Junior,Archer's Mark,whip,-0.035,0.016,-0.019000000000000003,1.8091445204860357,-1.05
Noam Coleman,Archer's Mark,whip,-0.047,0.034,-0.012999999999999998,1.8091445204860357,-0.72
Stacey Mayer,Archer's Mark,whip,-0.044,0.034,-0.009999999999999995,1.8091445204860357,-0.55
Eugene Cerdas,Archer's Mark,whip,0.0,0.0,0.0,1.8091445204860357,0.0
Antonio Slater,Archer's Mark,whip,0.0,0.0,0.0,1.8091445204860357,0.0
Craig Koyama,Archer's Mark,whip,0.0,0.0,0.0,1.8091445204860357,0.0
Johnny Osborne,Archer's Mark,whip,0.0,0.0,0.0,1.8091445204860357,0.0
Sandra Hidalgo,Archer's Mark,whip,0.0,0.0,0.0,1.8091445204860357,0.0
Midnight Koosman,Archer's Mark,whip,0.0,0.0,0.0,1.8091445204860357,0.0
Yanli Axelsson,Archer's Mark,whip,0.0,0.0,0.0,1.8091445204860357,0.0
Neptune Vanterpool,Archer's Mark,whip,0.0,0.0,0.0,1.8091445204860357,0.0
Milani Kumar,Archer's Mark,whip,0.0,0.0,0.0,1.8091445204860357,0.0
Mia D'Angelo,Archer's Mark,whip,-0.035,0.044,0.008999999999999994,1.8091445204860357,0.5
Juan McGuire,Archer's Mark,whip,-0.026,0.038,0.012,1.8091445204860357,0.66
