,,player_id,player_name,team_id,singles,doubles,triples,home_runs,at_bats,walked,hit_by_pitch,plate_appearances,stolen_bases,caught_stealing,struck_out,runs,runs_batted_in,sac_flies,groundouts,flyouts,popouts,lineouts,positiontype,hitting,TB,BA,OBP,SLG,OPS,BABIP,SB%,K%,BB%,ISO
team,0,6841bb7be63d9bb87288a05f,Nate Flowers,680e477a7d5b06095ef46ad1,40,21,1,15,355,61,10,436,11,8,102,49,53,6,63,51,20,26,Batter,77,145,0.21690140845070421,0.34,0.4084507042253521,0.7510432968179448,0.2540983606557377,0.5789473684210527,0.23394495412844038,0.13990825688073394,0.1915492957746479
team,1,6841ed16ec9dc637cfd0d0cc,Clarence Meyers,680e477a7d5b06095ef46ad1,77,14,3,11,411,36,24,473,13,8,110,53,36,0,96,35,16,36,Batter,105,158,0.25547445255474455,0.35,0.3844282238442822,0.7347466951818618,0.32413793103448274,0.6190476190476191,0.23255813953488372,0.07610993657505286,0.12895377128953767
team,2,6887d48018e81770515bb905,Catfish Demir,680e477a7d5b06095ef46ad1,3,1,0,3,20,2,1,23,1,0,4,6,3,0,7,1,1,0,,7,17,0.35,0.43,0.85,1.2847826086956522,0.3076923076923077,1.0,0.17391304347826086,0.08695652173913043,0.5
team,3,6887d48018e81770515bb907,Karina Huff,680e477a7d5b06095ef46ad1,0,0,0,1,3,0,0,3,0,0,1,1,1,0,1,0,0,0,,1,4,0.3333333333333333,0.33,1.3333333333333333,1.6666666666666665,0.0,,0.3333333333333333,0.0,1.0
team,4,6841c6f9e63d9bb87288a08c,Alfred Tanner,680e477a7d5b06095ef46ad1,57,22,2,21,437,35,12,491,15,5,102,67,57,3,101,53,17,42,Batter,102,191,0.2334096109839817,0.31,0.43707093821510296,0.7430257636771153,0.2555205047318612,0.75,0.20773930753564154,0.07128309572301425,0.20366132723112126
team,5,6841c5e2554d8039701f1da5,Mamie Mitra,680e477a7d5b06095ef46ad1,63,15,2,10,378,66,12,463,11,10,80,56,50,6,81,66,22,26,Batter,90,139,0.23809523809523808,0.36,0.36772486772486773,0.7313612313612314,0.272108843537415,0.5238095238095238,0.17278617710583152,0.14254859611231102,0.12962962962962965
team,6,6887d48018e81770515bb904,Gordon Brady,680e477a7d5b06095ef46ad1,1,0,0,0,4,0,0,4,0,0,2,0,0,0,0,1,0,0,,1,1,0.25,0.25,0.25,0.5,0.5,,0.5,0.0,0.0
team,7,6841b2ad925dd4f9d72ac3d5,Eluna Shin,680e477a7d5b06095ef46ad1,37,10,2,17,319,70,7,401,7,4,87,56,47,3,78,52,10,14,Batter,66,131,0.20689655172413793,0.36,0.4106583072100313,0.7690542971849686,0.22477064220183487,0.6363636363636364,0.2169576059850374,0.1745635910224439,0.2037617554858934
team,8,6841edf0ed58166c1895b115,Edna Santiago,680e477a7d5b06095ef46ad1,54,10,1,11,359,68,12,452,17,6,92,45,53,6,88,52,18,21,Batter,76,121,0.2116991643454039,0.35,0.3370473537604457,0.6876091515132547,0.2480916030534351,0.7391304347826086,0.20353982300884957,0.1504424778761062,0.1253481894150418
team,9,6841af60e63d9bb87288a02b,Rick Somersbyshire,680e477a7d5b06095ef46ad1,59,15,2,14,361,45,19,429,11,15,92,48,47,1,86,23,16,27,Batter,90,151,0.24930747922437674,0.36,0.4182825484764543,0.7797848958942947,0.296875,0.4230769230769231,0.21445221445221446,0.1048951048951049,0.16897506925207756
team,10,6887d48018e81770515bb909,Jared Sakai,680e477a7d5b06095ef46ad1,1,0,0,0,4,0,0,4,0,0,1,0,0,0,1,1,0,0,,1,1,0.25,0.25,0.25,0.5,0.3333333333333333,,0.25,0.0,0.0
team,11,6841bd7008b7fc5e21e8b02a,Jesse McNamara,680e477a7d5b06095ef46ad1,53,10,3,19,347,30,14,398,22,7,108,56,56,5,64,39,22,27,Batter,85,158,0.24495677233429394,0.33,0.4553314121037464,0.7810889878613221,0.29333333333333333,0.7586206896551724,0.271356783919598,0.07537688442211055,0.21037463976945245
team,12,6841b452e2d7557e153cc94b,Charles Lyberth,680e477a7d5b06095ef46ad1,47,10,2,12,353,42,9,412,8,4,105,46,42,6,80,43,22,21,Batter,71,121,0.20113314447592068,0.3,0.34277620396600567,0.6403371795757618,0.24380165289256198,0.6666666666666666,0.25485436893203883,0.10194174757281553,0.141643059490085
league,0,68e73ad34738193074bd4804,Alicia Sanders,68e739fdc82e39151b79878e,61,19,0,14,359,61,12,442,16,7,93,49,42,8,86,36,21,14,,94,155,0.2618384401114206,0.38,0.43175487465181056,0.8113003291972651,0.3076923076923077,0.6956521739130435,0.21040723981900453,0.13800904977375567,0.16991643454038996
league,1,68870cba1f79b00a978a6716,Mike John Baptiste,6807ce932d90bd2924b77a08,80,21,2,15,362,44,9,425,33,9,68,49,64,7,73,48,18,28,,118,188,0.3259668508287293,0.41,0.5193370165745856,0.9245502867167658,0.36013986013986016,0.7857142857142857,0.16,0.10352941176470588,0.19337016574585636
league,2,6887d45a18e81770515b8555,Lawrence Suero,6807b91cad144ec1a39c6640,0,0,0,0,12,0,0,11,0,0,5,0,0,0,3,2,1,1,,0,0,0.0,0.0,0.0,0.0,0.0,,0.45454545454545453,0.0,0.0
league,3,68410bb2554d8039701f18f6,Verônica Palmer,680848f06f38e1fcb9f6f1bb,43,12,0,12,299,61,8,378,14,9,66,52,43,6,88,42,14,15,,67,115,0.22408026755852842,0.36,0.38461538461538464,0.7482517482517483,0.2422907488986784,0.6086956521739131,0.1746031746031746,0.16137566137566137,0.16053511705685622
league,4,6840fcbb554d8039701f1545,Harrietta Brito,68086624089c4cd53528e758,61,24,0,14,417,30,19,472,12,12,100,54,56,4,91,62,33,22,,99,165,0.23741007194244604,0.31,0.39568345323741005,0.7105770702586867,0.2768729641693811,0.5,0.211864406779661,0.0635593220338983,0.15827338129496402
league,5,6840fb1b8d67c531e89fdd0d,Jodi Pearce,68086624089c4cd53528e758,51,14,1,13,362,51,14,431,13,14,97,40,49,3,89,50,17,18,,79,134,0.21823204419889503,0.33,0.3701657458563536,0.7050494667865861,0.25882352941176473,0.48148148148148145,0.22505800464037123,0.11832946635730858,0.15193370165745856
