,stat_type,player_id,player_name,team_id,team_name,outs,earned_runs,home_runs_allowed,walks,hit_batters,strikeouts,hits_allowed,wins,losses,saves,blown_saves,unearned_runs,appearances,starts,positiontype,IP,ERA,WHIP,K9,BB9,HR9,FIP,league_name,league_id,team_win_diff,singles,doubles,triples,home_runs,at_bats,walked,hit_by_pitch,plate_appearances,stolen_bases,caught_stealing,struck_out,runs,runs_batted_in,sac_flies,groundouts,flyouts,popouts,lineouts,hitting,TB,BA,OBP,SLG,OPS,BABIP,SB%,K%,BB%,ISO,league_type
0,pitching,689a6d2c0876a3b3b1b023cf,Roger McNally,689a686a19fb922f37f625d7,,533.0,81.0,28.0,59.0,18.0,121.0,170.0,10.0,10.0,0.0,0.0,2.0,24.0,24.0,,177.66666666666666,4.103189493433396,1.2889305816135086,6.129455909943715,2.9887429643527206,1.4183864915572233,4.7413998887185365,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
1,pitching,6841b28308b7fc5e21e8afde,Christy Ott,680e5f047d5b06095ef46ccb,,110.0,22.0,4.0,14.0,1.0,29.0,39.0,2.0,1.0,0.0,0.0,0.0,6.0,6.0,,36.666666666666664,5.4,1.4454545454545455,7.118181818181819,3.4363636363636365,0.9818181818181819,3.8181694606100596,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
2,pitching,6887d46518e81770515b94b1,Eloise Quinn,68086624089c4cd53528e758,,65.0,11.0,3.0,8.0,4.0,15.0,25.0,0.0,3.0,1.0,0.0,1.0,6.0,1.0,,21.666666666666668,4.569230769230769,1.523076923076923,6.230769230769231,3.323076923076923,1.2461538461538462,4.831456173896772,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
3,pitching,68e73bc51ed9bb299b05a319,Arturo Kensingtonworth,68e739fdc82e39151b79878e,,219.0,49.0,15.0,45.0,10.0,62.0,72.0,3.0,2.0,0.0,0.0,1.0,33.0,0.0,,73.0,6.041095890410959,1.6027397260273972,7.6438356164383565,5.5479452054794525,1.8493150684931507,5.987409809302463,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
4,pitching,6864c4df3d7a8cc32188588d,Nathaniel Clausen,6864c3f593ee59ce6e2dc497,,95.0,20.0,9.0,14.0,4.0,24.0,31.0,1.0,4.0,0.0,0.0,1.0,13.0,0.0,,31.666666666666668,5.684210526315789,1.4210526315789473,6.821052631578947,3.9789473684210526,2.557894736842105,6.638743623289485,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
5,pitching,6840fc298d67c531e89fdda2,Eugene Hinton,680664c9709b8b12f78c2b83,,441.0,78.0,31.0,91.0,9.0,154.0,129.0,7.0,5.0,0.0,1.0,0.0,24.0,24.0,,147.0,4.775510204081633,1.4965986394557824,9.428571428571429,5.571428571428571,1.8979591836734695,5.441607926905668,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
6,pitching,6845fa408ba62cf2ce8d9789,Lula Richter,68069a789edf4f7b46032846,,27.0,3.0,2.0,6.0,1.0,12.0,8.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,9.0,3.0,1.5555555555555556,12.0,6.0,2.0,5.3100886525292506,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
7,pitching,6840fae6e63d9bb8728896ab,Albert Hobbs,680aa067c68e9f3ac834d8d5,,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.6666666666666666,0.0,0.0,13.5,0.0,0.0,-0.24546690302630436,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
8,pitching,6840fbeb8d67c531e89fdd7f,Donna Otieno,6812ebfb21bca5921ffa8d10,,21.0,7.0,2.0,8.0,2.0,8.0,7.0,1.0,1.0,5.0,2.0,0.0,8.0,0.0,,7.0,9.0,2.142857142857143,10.285714285714286,10.285714285714286,2.5714285714285716,8.46881881125941,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
9,pitching,6887103d316e95c5a8c62b2b,Jo Augustin,6807ce932d90bd2924b77a08,,512.0,76.0,31.0,64.0,13.0,138.0,139.0,11.0,9.0,0.0,0.0,2.0,24.0,24.0,,170.66666666666666,4.0078125,1.189453125,7.27734375,3.375,1.634765625,4.852189346973695,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
