outer_id,inner_id,allowed_stolen_bases,allowed_stolen_bases_risp,assists,assists_risp,at_bats,at_bats_risp,caught_stealing,caught_stealing_risp,double_plays,double_plays_risp,doubles,doubles_risp,field_out,field_out_risp,flyouts,flyouts_risp,force_outs,force_outs_risp,grounded_into_double_play,grounded_into_double_play_risp,groundouts,groundouts_risp,hit_by_pitch,hit_by_pitch_risp,home_runs,home_runs_risp,left_on_base,left_on_base_risp,lineouts,lineouts_risp,plate_appearances,plate_appearances_risp,popouts,popouts_risp,putouts,putouts_risp,reached_on_error,reached_on_error_risp,runners_caught_stealing,runners_caught_stealing_risp,runs,runs_batted_in,runs_batted_in_risp,runs_risp,sac_flies,singles,singles_risp,stolen_bases,stolen_bases_risp,struck_out,struck_out_risp,triples,walked,walked_risp,caught_double_play,caught_double_play_risp,errors,errors_risp,fielders_choice,fielders_choice_risp,appearances,batters_faced,batters_faced_risp,games_finished,outs,pitches_thrown,pitches_thrown_risp,strikeouts,strikeouts_risp,triples_risp,earned_runs,earned_runs_risp,hit_batters,hit_batters_risp,hits_allowed,hits_allowed_risp,home_runs_allowed,home_runs_allowed_risp,losses,mound_visits,quality_starts,starts,walks,walks_risp,wins,complete_games,ejected,unearned_runs,unearned_runs_risp,balks,balks_risp,inherited_runners,inherited_runners_risp,inherited_runs_allowed,inherited_runs_allowed_risp,blown_saves,saves,sacrifice_double_plays,sacrifice_double_plays_risp,shutouts,no_hitters
6805db0dac48194de3cd4160,6805db0dac48194de3cd4161,98.0,27.0,36.0,25.0,244.0,71.0,4.0,1.0,8.0,8.0,6.0,2.0,99.0,28.0,23.0,8.0,8.0,2.0,4.0,1.0,56.0,14.0,8.0,2.0,7.0,4.0,76.0,48.0,13.0,5.0,267.0,67.0,11.0,2.0,498.0,162.0,1.0,1.0,25.0,16.0,23.0,21.0,18.0,20.0,1.0,35.0,9.0,14.0,4.0,83.0,24.0,1.0,14.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd4162,nan,nan,14.0,3.0,242.0,55.0,3.0,1.0,42.0,13.0,11.0,4.0,96.0,20.0,26.0,7.0,2.0,nan,3.0,nan,57.0,8.0,4.0,1.0,7.0,2.0,59.0,41.0,8.0,2.0,278.0,60.0,8.0,3.0,473.0,132.0,1.0,nan,nan,nan,23.0,25.0,17.0,14.0,nan,30.0,4.0,9.0,2.0,90.0,24.0,nan,32.0,9.0,2.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd4163,nan,nan,123.0,36.0,227.0,52.0,5.0,3.0,29.0,8.0,11.0,1.0,86.0,19.0,23.0,6.0,7.0,4.0,8.0,2.0,47.0,8.0,7.0,1.0,11.0,4.0,59.0,42.0,15.0,5.0,271.0,57.0,9.0,2.0,93.0,24.0,2.0,nan,nan,nan,32.0,35.0,24.0,25.0,3.0,36.0,4.0,17.0,4.0,64.0,17.0,nan,34.0,11.0,1.0,nan,5.0,2.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd4164,nan,nan,114.0,34.0,224.0,54.0,3.0,2.0,12.0,7.0,8.0,1.0,92.0,23.0,28.0,8.0,11.0,5.0,3.0,2.0,47.0,14.0,1.0,nan,4.0,2.0,64.0,45.0,11.0,1.0,252.0,60.0,10.0,3.0,78.0,43.0,1.0,nan,nan,nan,25.0,12.0,10.0,20.0,nan,31.0,5.0,12.0,2.0,72.0,15.0,nan,26.0,11.0,nan,nan,10.0,3.0,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd4165,nan,nan,138.0,38.0,221.0,60.0,3.0,nan,24.0,4.0,10.0,2.0,93.0,29.0,24.0,10.0,6.0,3.0,5.0,2.0,45.0,14.0,10.0,2.0,8.0,4.0,48.0,32.0,20.0,6.0,258.0,62.0,11.0,3.0,82.0,21.0,2.0,nan,nan,nan,27.0,25.0,21.0,23.0,1.0,32.0,6.0,11.0,3.0,65.0,14.0,nan,24.0,5.0,nan,nan,7.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd4166,nan,nan,nan,nan,192.0,52.0,3.0,nan,nan,nan,7.0,2.0,99.0,28.0,39.0,8.0,2.0,1.0,2.0,nan,45.0,15.0,5.0,2.0,2.0,nan,42.0,30.0,11.0,3.0,234.0,61.0,7.0,3.0,113.0,29.0,2.0,1.0,nan,nan,16.0,14.0,11.0,8.0,1.0,21.0,3.0,6.0,1.0,56.0,16.0,nan,35.0,12.0,nan,nan,1.0,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd4167,nan,nan,1.0,nan,207.0,50.0,1.0,1.0,1.0,nan,5.0,2.0,95.0,22.0,22.0,6.0,3.0,1.0,3.0,nan,51.0,8.0,5.0,1.0,6.0,1.0,48.0,29.0,15.0,5.0,245.0,54.0,12.0,5.0,179.0,63.0,1.0,nan,nan,nan,20.0,24.0,16.0,13.0,2.0,27.0,9.0,6.0,nan,64.0,14.0,1.0,29.0,9.0,2.0,1.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd4168,nan,nan,2.0,1.0,254.0,61.0,4.0,1.0,1.0,1.0,10.0,nan,104.0,23.0,24.0,5.0,10.0,4.0,8.0,3.0,68.0,15.0,7.0,nan,3.0,nan,86.0,59.0,13.0,5.0,285.0,61.0,7.0,1.0,124.0,36.0,3.0,1.0,nan,nan,23.0,11.0,5.0,19.0,nan,27.0,6.0,10.0,2.0,88.0,24.0,nan,24.0,11.0,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd4169,nan,nan,nan,nan,187.0,46.0,2.0,nan,nan,nan,10.0,1.0,84.0,18.0,26.0,6.0,5.0,4.0,5.0,2.0,42.0,11.0,6.0,1.0,10.0,4.0,53.0,40.0,13.0,2.0,232.0,57.0,9.0,2.0,nan,nan,2.0,nan,nan,nan,20.0,32.0,23.0,13.0,1.0,26.0,5.0,12.0,2.0,43.0,10.0,1.0,37.0,11.0,1.0,1.0,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd416a,nan,nan,7.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.0,313.0,101.0,nan,187.0,1147.0,389.0,68.0,17.0,nan,60.0,50.0,9.0,2.0,80.0,28.0,10.0,3.0,9.0,8.0,1.0,13.0,38.0,17.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
