attribute,coefficient,p_value
const,0.2663122788858794,0.0
Aiming,0.0032412649396551937,4.0819940534234166e-10
Contact,0.0009337269091320633,0.06682910011109416
Cunning,0.002111391490209229,5.492594064281505e-05
Determination,0.002525821225131959,1.8453565774681736e-06
Discipline,0.005811863502728961,1.6205119105695276e-28
Insight,0.003355485206642232,1.1769777648378736e-10
Intimidation,0.004780453600476755,4.1547626421984765e-20
Lift,-0.0018727345824142599,0.00039749265068520656
Muscle,0.0031416559349263296,1.144101803070917e-10
Selflessness,-0.0006360945867808301,0.2351329454309866
Vision,0.0014870026982558959,0.0043943316741397965
Wisdom,0.0009243960959784078,0.09198576507849064
