attribute,coefficient,p_value
Discipline,0.009550683790799028,1.6869948630703183e-39
Intimidation,0.007002736239242882,1.3817722720772277e-22
Determination,0.004250972470560466,5.372725151591208e-09
Insight,0.003938150333360412,3.480370674491671e-08
Cunning,0.003663766639013364,3.59588432314119e-07
Muscle,0.0035599401281272624,9.805182055955243e-08
Aiming,0.003503950725674662,8.135829206948325e-07
Wisdom,0.0012139808496382549,0.10707797826723568
Vision,0.0011561411867095286,0.1065174438253316
Selflessness,-0.0010208972958920823,0.1653100586127514
Contact,-0.0018218278718021258,0.009249212184889052
Lift,-0.0023906075382229657,0.0009907129582191986
