attribute,coefficient,p_value
Defiance,-0.025605712548727726,0.07708996286538926
Accuracy,-0.03453631224180863,0.016762102275098
Stuff,-0.05812530371919202,4.4636423330665353e-05
Stamina,-0.05985882631040592,4.7374354672464694e-05
Persuasion,-0.06872463113077906,3.2023761911190295e-06
Guts,-0.11102841624432776,9.936730137522701e-14
Rotation,-0.12295921154132768,7.962193102901077e-17
Presence,-0.1390181078879911,9.992183799686692e-20
Control,-0.1612349185924175,2.9468331872377176e-27
Velocity,-0.20113316156685013,3.982374292920259e-41
