attribute,coefficient,p_value
Defiance,-0.007980666810442572,0.022282838009142082
Rotation,-0.009332506145740068,0.007837713161381918
Accuracy,-0.009650584913691517,0.005562753654005434
Stamina,-0.01677800102235123,2.286576630197557e-06
Presence,-0.016960171595833396,3.144533114495409e-06
Persuasion,-0.017059476210036947,1.615994426258683e-06
Guts,-0.01759277120444057,8.411648833624788e-07
Stuff,-0.019869360169410207,7.904557372584443e-09
Velocity,-0.039333404799890434,2.5255274827116294e-28
Control,-0.04426605341913868,2.0209577767431063e-34
